model,display_name,precision,recall,f1,map50,map50_95,false_negative_count,fixed_count_recall,latency_ms_img,fps,epochs
xraysafe_yolo11n_cgoa,+CGOA,0.889913384708031,0.8505615798917026,0.8697926139237626,0.8878464984699713,0.40120947655997,201,0.8870786516853932,11.464489076544098,87.22586705115027,50
xraysafe_yolo11n_opt_resgated,RG-LSAFF (all scales),0.8790418472707149,0.8321108460351911,0.8549327691143777,0.8695733450408779,0.3907971569796347,232,0.8696629213483146,5.590472916640112,178.87574359290562,50
xraysafe_yolo11n_opt_p34_resgated,CGOA+RG-LSAFF (P3/P4),0.8927948290347695,0.8630692783322698,0.8776804372967904,0.8956831570457437,0.3979333510601517,187,0.8949438202247191,3.198644031603967,312.63247492361563,50
xraysafe_yolo11n_opt_spatial_resgated,XraySafe-YOLO (final),0.8915794821772287,0.8567926876639742,0.873840014131618,0.8922857407177995,0.3990324338553089,185,0.8960674157303371,2.674952421158024,373.8384249717183,50
