model,display_name,precision,recall,f1,map50,map50_95,false_negative_count,fixed_count_precision,fixed_count_recall,params,gflops,model_size_mb,latency_ms_img,fps,epochs
yolo11n,YOLO11n,0.8956827845849793,0.8513314459716176,0.8729441429789341,0.8936532108849663,0.4108391486054737,194.0,0.8850446428571429,0.8910112359550562,2583127,6.317311999999999,5.215662002563477,5.124063851387807,195.1575993201488,100
xraysafe_yolo11n_cgoa,+CGOA,0.9052181522032868,0.8467741923685637,0.8750213688138252,0.8963553081393199,0.4067297885024576,187.0,0.8884551031790295,0.8949438202247191,2588697,6.3394304,5.236614227294922,2.281458333339099,438.3161355116308,100
xraysafe_yolo11n_lsaff,+LSAFF,0.8831202475175106,0.7981971994508472,0.8385139993852477,0.8609712601974703,0.4041011310143764,247.0,0.8602693602693603,0.8612359550561798,2893152,7.2272384,5.874751091003418,6.291595833309649,158.9421867669394,100
xraysafe_yolo11n_full,CGOA+LSAFF (original),0.8873094502000429,0.8399391901317204,0.8629747490831365,0.8743554061818273,0.4037848961527145,218.0,0.8736017897091722,0.8775280898876404,2898722,7.249356799999999,5.898755073547363,3.965937387407836,252.1471980811091,100
xraysafe_yolo11n_opt_p34_resgated,CGOA+RG-LSAFF (P3/P4),0.8890304732092333,0.8318991604780329,0.8595164959970113,0.8812318913198534,0.3982262060852882,197.0,0.8765227021040974,0.8893258426966292,2708705,6.7906048,5.508964538574219,3.205820214019581,311.9326516274478,100
xraysafe_yolo11n_opt_spatial_resgated,XraySafe-YOLO (final),0.8998303640935349,0.8651839242456392,0.8821670971223579,0.8966921398494712,0.3939566585960045,174.0,0.8932146829810901,0.902247191011236,2900069,7.2536576,5.909228324890137,3.258352758993996,306.90354113430806,100
